rank,stock_id,name,close,vol_ratio,daily_return_pct,ma28_bias_pct,turnover_億,rsi14,inst_consec_days,yoy_revenue_pct,foreign_today,trust_today,foreign_3d,trust_3d,is_strong_confirm,is_early_breakout,total_score,early_score,composite_score,reject_reason,early_reject_reason
95,8210,勤誠,890.0,0.43,1.14,-0.17,13.29,49.6,1,44.7,79369.0,-269.0,769233.0,-571603.0,False,False,0.0,0.0,0.0,量比0.43,量比0.43
96,8150,南茂,61.4,1.16,1.66,2.09,8.16,54.6,9,23.1,1152914.0,11000.0,5351373.0,31000.0,False,False,0.0,0.0,0.0,量比1.16,量比1.16
97,8131,福懋科,60.8,1.08,-1.78,-3.91,2.29,45.7,0,33.8,-1140698.0,-1034.0,-599698.0,-19034.0,False,False,0.0,0.0,0.0,量比1.08；成交額不足,量比1.08；成交額不足
98,6781,AES-KY,979.0,0.98,0.0,-5.01,13.33,42.2,0,25.6,-44803.0,-133125.0,-282687.0,-162265.0,False,False,0.0,0.0,0.0,量比0.98,量比0.98
99,6770,力積電,55.4,1.05,2.59,-12.22,74.41,42.6,1,28.3,16206540.0,-3017000.0,-27369842.0,-3420000.0,False,False,0.0,0.0,0.0,量比1.05,量比1.05
100,6768,志強-KY,83.6,0.45,1.7,-8.62,0.37,36.1,4,-3.0,48000.0,-3505.0,977004.0,-5842.0,False,False,0.0,0.0,0.0,量比0.45；成交額不足,量比0.45；成交額不足
101,6715,嘉基,439.0,1.22,5.91,46.27,14.12,74.9,5,9.6,-136454.0,45862.0,52546.0,455862.0,False,False,0.0,0.0,0.0,量比1.22；乖離46.3%,量比1.22；乖離46.3%
102,6706,惠特,140.0,1.82,9.8,13.79,15.76,61.5,3,-59.6,1634225.0,-505.0,3463228.0,-505.0,False,False,0.0,0.0,0.0,未通過,漲幅9.8%
103,8215,明基材,25.05,0.98,1.62,10.79,1.15,59.6,0,-3.1,-354000.0,-25000.0,112494.0,-43000.0,False,False,0.0,0.0,0.0,量比0.98；成交額不足,量比0.98；成交額不足
104,1513,中興電,150.5,0.8,0.33,-2.78,3.04,45.3,4,4.8,37712.0,1351.0,398058.0,1351.0,False,False,0.0,0.0,0.0,量比0.80,量比0.80
105,1504,東元,59.7,0.96,0.34,-11.05,4.72,32.4,0,3.3,-1076789.0,-166707.0,-1944400.0,-385707.0,False,False,0.0,0.0,0.0,量比0.96,量比0.96
106,1503,士電,186.0,0.86,1.64,-5.82,1.65,43.6,1,35.3,118303.0,0.0,-134156.0,0.0,False,False,0.0,0.0,0.0,量比0.86；成交額不足,量比0.86；成交額不足
107,1477,聚陽,219.5,0.61,-1.35,-18.55,2.26,21.8,0,-9.4,-447000.0,-38552.0,-100081.0,112357.0,False,False,0.0,0.0,0.0,量比0.61；成交額不足,量比0.61；成交額不足
108,1476,儒鴻,328.5,0.51,-0.45,-9.03,2.26,32.8,1,5.5,-140262.0,288.0,-90327.0,-1282.0,False,False,0.0,0.0,0.0,量比0.51；成交額不足,量比0.51；成交額不足
109,1402,遠東新,26.65,0.96,-0.93,-2.14,3.61,45.5,0,-3.3,-4334988.0,-144596.0,-7739381.0,-248227.0,False,False,0.0,0.0,0.0,量比0.96,量比0.96
110,1326,台化,45.45,0.63,-0.33,1.38,8.42,53.1,2,21.6,-112885.0,12000.0,16260953.0,-1693000.0,False,False,0.0,0.0,0.0,量比0.63,量比0.63
111,9921,巨大,67.3,1.17,-0.88,-7.75,1.5,27.6,1,-17.0,95043.0,0.0,-776484.0,0.0,False,False,0.0,0.0,0.0,量比1.17；成交額不足,量比1.17；成交額不足
112,1309,台達化,22.6,0.49,-3.62,22.77,4.67,60.4,1,-8.4,1950500.0,0.0,-2201500.0,0.0,False,False,0.0,0.0,0.0,量比0.49,量比0.49；漲幅-3.6%
113,1308,亞聚,16.55,0.51,-1.78,2.12,1.66,50.2,1,-15.6,2347000.0,0.0,1137000.0,0.0,False,False,0.0,0.0,0.0,量比0.51；成交額不足,量比0.51；成交額不足
114,1305,華夏,16.7,0.49,1.83,9.35,1.87,55.2,1,29.4,2953050.0,0.0,3693253.0,0.0,False,False,0.0,0.0,0.0,量比0.49；成交額不足,量比0.49；成交額不足
115,1304,台聚,15.95,0.49,0.63,8.81,3.09,54.8,1,0.6,3542500.0,0.0,1578151.0,0.0,False,False,0.0,0.0,0.0,量比0.49,量比0.49
116,1303,南亞,81.6,0.96,-4.23,1.47,76.09,52.1,0,18.1,-24956746.0,-3290000.0,155928.0,199216.0,False,False,0.0,0.0,0.0,量比0.96,量比0.96；漲幅-4.2%
117,1301,台塑,46.95,0.69,-0.95,-0.43,7.37,50.3,0,1.5,-2262518.0,-1000.0,3402394.0,-140113.0,False,False,0.0,0.0,0.0,量比0.69,量比0.69
118,8110,華東,49.3,1.09,-0.2,-8.88,5.75,41.3,0,11.6,-798502.0,-8000.0,557610.0,-41000.0,False,False,0.0,0.0,0.0,量比1.09,量比1.09
119,8103,瀚荃,88.6,1.74,0.0,3.09,1.92,54.1,7,25.8,42015.0,0.0,602316.0,0.0,False,False,0.0,0.0,0.0,成交額不足,成交額不足
120,1319,東陽,80.5,0.89,0.5,-5.77,1.45,34.6,0,-19.9,-571000.0,-2869.0,-1071000.0,-1096882.0,False,False,0.0,0.0,0.0,量比0.89；成交額不足,量比0.89；成交額不足
